IP HOST VPLS_CONFIGURADO VPLS_ATIVO VPLS_INATIVO
172.16.233.50 SWAC-04-RS-GUB-GUA 28 0 100%
172.17.30.50 SWAC-04-RS-PAE-PTS 18 12 33%
172.16.90.146 SWAC-04-RS-PAS-PA2 57 0 100%
172.16.52.76 SWAC-04-RS-PAS-SPA 0 0 100%
172.16.138.204 SWAC-04-RS-RGR-RG2 0 0 100%
172.17.32.66 SWAC-04-RS-SLE-SLD 8 0 100%
172.17.2.50 SWAC-04-RS-SMA-PEB 1 0 100%
172.16.49.98 SWAC-04-RS-TQR-TQR 62 0 100%
172.16.222.162 swac-04-rs-tri-tdi 3 2 33%
10.255.3.2 SWAC-04-SP-STS-STS 28 24 14%
172.17.17.82 SWAC-05-RS-CSL-UVA 0 0 100%
172.16.211.219 SWAC-05-RS-PAE-STC 5 4 20%
172.16.103.210 SWAC-05-RS-PAS-SPA 12 0 100%
172.16.138.74 SWAC-05-RS-RGR-RG2 0 0 100%
172.16.35.90 SWAC-05-RS-SLE-SLD 70 0 100%
10.255.3.4 SWAC-05-SP-SPO-BRF 303 299 1%
10.255.3.83 SWAC-05-SP-SPO-BSA 58 56 3%
10.255.3.121 SWAC-05-SP-STS-STS 61 19 69%
10.255.3.39 SWAC-06-SP-SPO-GMM 149 146 2%
10.255.3.132 SWAC-06-SP-SPO-VCR 54 54 0%
172.31.96.36 SWAC-07-RS-CSL-CID3011-AIRSW-455 4 0 100%
10.255.3.86 SWAC-07-SP-SPO-PDM 35 30 14%
172.31.96.34 SWAC-08-RS-CSL-UVA 2 0 100%
172.16.4.90 SWAC-08-RS-PAE-FLR 97 0 100%
10.255.3.113 SWAC-08-SP-SPO-PDM 24 12 50%
172.16.234.50 SWAC-10-RS-SLL-SLO 2 0 100%
172.16.187.187 SWAC-13-RS-PAE-STC 110 108 2%
172.16.249.138 SWAC-14-RS-PAE-STC 42 32 24%
172.16.9.222 SWAC-ISP-01-RS-PAE-JOA 96 89 7%
172.16.233.98 SWAS-03-RS-GUB-GUA 3 0 100%
10.150.109.2 VPN-IND-01-CR-X670-48x-001 43 42 2%
